id,time,x,y,z,pulse
394,12643.0,-0.35,-0.38,0.44,320.0
395,12676.0,-0.35,-0.38,0.44,338.0
396,12707.0,-0.34,-0.37,0.45,353.0
397,12740.0,-0.34,-0.38,0.44,363.0
398,12773.0,-0.35,-0.38,0.45,363.0
399,12805.0,-0.35,-0.37,0.45,363.0
400,12837.0,-0.33,-0.37,0.45,357.0
401,12869.0,-0.34,-0.37,0.43,346.0
402,12902.0,-0.33,-0.39,0.44,335.0
403,12934.0,-0.34,-0.39,0.45,331.0
404,12966.0,-0.36,-0.39,0.44,333.0
405,12998.0,-0.35,-0.39,0.45,331.0
406,13031.0,-0.35,-0.38,0.45,329.0
407,13063.0,-0.34,-0.37,0.44,325.0
408,13095.0,-0.34,-0.38,0.45,325.0
409,13127.0,-0.34,-0.37,0.45,322.0
410,13160.0,-0.34,-0.37,0.45,319.0
411,13193.0,-0.34,-0.37,0.44,324.0
412,13224.0,-0.34,-0.38,0.45,322.0
413,13257.0,-0.35,-0.37,0.44,321.0
414,13289.0,-0.35,-0.38,0.45,316.0
415,13322.0,-0.35,-0.37,0.44,318.0
416,13353.0,-0.34,-0.38,0.44,318.0
417,13386.0,-0.34,-0.38,0.44,327.0
418,13418.0,-0.35,-0.39,0.43,341.0
419,13451.0,-0.36,-0.38,0.45,355.0
420,13483.0,-0.36,-0.38,0.43,368.0
421,13515.0,-0.35,-0.38,0.43,366.0
422,13547.0,-0.36,-0.38,0.44,362.0
423,13580.0,-0.35,-0.37,0.46,352.0
424,13613.0,-0.35,-0.37,0.45,341.0
425,13644.0,-0.34,-0.37,0.45,332.0
426,13677.0,-0.35,-0.36,0.45,326.0
427,13709.0,-0.36,-0.36,0.44,330.0
428,13742.0,-0.35,-0.36,0.44,328.0
429,13773.0,-0.34,-0.37,0.44,327.0
430,13806.0,-0.34,-0.38,0.46,324.0
431,13838.0,-0.35,-0.38,0.45,320.0
432,13871.0,-0.35,-0.38,0.45,317.0
433,13902.0,-0.35,-0.38,0.44,318.0
434,13935.0,-0.36,-0.36,0.43,315.0
435,13967.0,-0.35,-0.38,0.44,314.0
436,14000.0,-0.35,-0.37,0.44,319.0
437,14032.0,-0.36,-0.38,0.43,320.0
438,14064.0,-0.35,-0.38,0.45,319.0
439,14097.0,-0.34,-0.36,0.45,319.0
440,14129.0,-0.34,-0.38,0.44,319.0
441,14161.0,-0.35,-0.35,0.44,321.0
442,14193.0,-0.33,-0.35,0.46,332.0
443,14226.0,-0.33,-0.37,0.45,349.0
444,14258.0,-0.35,-0.38,0.44,367.0
445,14290.0,-0.34,-0.36,0.44,368.0
446,14322.0,-0.35,-0.36,0.43,364.0
447,14355.0,-0.35,-0.37,0.45,354.0
448,14387.0,-0.35,-0.38,0.45,346.0
449,14419.0,-0.35,-0.37,0.45,339.0
450,14452.0,-0.36,-0.37,0.45,329.0
451,14484.0,-0.35,-0.36,0.45,326.0
452,14517.0,-0.34,-0.38,0.43,324.0
453,14548.0,-0.36,-0.37,0.44,329.0
454,14581.0,-0.35,-0.37,0.44,326.0
455,14613.0,-0.35,-0.38,0.44,323.0
456,14646.0,-0.34,-0.37,0.45,322.0
457,14678.0,-0.34,-0.36,0.44,318.0
458,14710.0,-0.34,-0.36,0.45,317.0
459,14742.0,-0.33,-0.37,0.46,315.0
460,14775.0,-0.35,-0.36,0.44,319.0
461,14807.0,-0.35,-0.37,0.45,319.0
462,14839.0,-0.34,-0.36,0.44,318.0
463,14872.0,-0.35,-0.37,0.44,317.0
464,14904.0,-0.36,-0.37,0.46,315.0
465,14937.0,-0.36,-0.37,0.44,314.0
466,14968.0,-0.34,-0.38,0.44,313.0
467,15001.0,-0.36,-0.37,0.44,319.0
468,15033.0,-0.35,-0.37,0.44,333.0
469,15066.0,-0.35,-0.37,0.44,353.0
470,15097.0,-0.35,-0.37,0.44,360.0
471,15130.0,-0.36,-0.38,0.44,362.0
472,15162.0,-0.36,-0.38,0.45,356.0
473,15195.0,-0.35,-0.37,0.44,349.0
474,15226.0,-0.34,-0.36,0.46,339.0
475,15259.0,-0.34,-0.36,0.46,332.0
476,15292.0,-0.34,-0.36,0.46,329.0
477,15324.0,-0.35,-0.36,0.45,330.0
478,15356.0,-0.35,-0.36,0.45,329.0
479,15388.0,-0.34,-0.37,0.44,326.0
480,15421.0,-0.36,-0.37,0.46,325.0
481,15453.0,-0.36,-0.37,0.45,321.0
482,15485.0,-0.35,-0.38,0.44,321.0
483,15517.0,-0.35,-0.36,0.44,316.0
484,15550.0,-0.36,-0.37,0.44,316.0
485,15582.0,-0.35,-0.38,0.44,320.0
486,15614.0,-0.35,-0.37,0.45,320.0
487,15646.0,-0.35,-0.37,0.44,319.0
488,15679.0,-0.35,-0.37,0.45,319.0
489,15712.0,-0.35,-0.36,0.45,316.0
490,15744.0,-0.35,-0.36,0.45,317.0
491,15776.0,-0.34,-0.36,0.45,314.0
492,15808.0,-0.34,-0.36,0.45,315.0
493,15841.0,-0.36,-0.36,0.45,327.0
494,15873.0,-0.34,-0.37,0.45,340.0
495,15905.0,-0.34,-0.37,0.46,351.0
496,15937.0,-0.34,-0.38,0.44,355.0
497,15970.0,-0.35,-0.38,0.44,357.0
498,16002.0,-0.35,-0.38,0.44,352.0
499,16034.0,-0.33,-0.36,0.44,340.0
500,16066.0,-0.34,-0.38,0.44,333.0
501,16099.0,-0.35,-0.38,0.45,330.0
502,16132.0,-0.35,-0.38,0.44,330.0
503,16163.0,-0.36,-0.37,0.45,328.0
504,16196.0,-0.35,-0.36,0.45,328.0
505,16228.0,-0.35,-0.37,0.45,325.0
506,16261.0,-0.34,-0.37,0.44,322.0
507,16292.0,-0.35,-0.36,0.44,320.0
508,16325.0,-0.35,-0.37,0.45,320.0
509,16357.0,-0.35,-0.37,0.45,321.0
510,16390.0,-0.35,-0.37,0.43,321.0
511,16421.0,-0.35,-0.37,0.44,321.0
512,16454.0,-0.35,-0.37,0.44,317.0
513,16486.0,-0.36,-0.38,0.44,316.0
514,16519.0,-0.37,-0.37,0.43,318.0
515,16551.0,-0.35,-0.37,0.43,313.0
516,16583.0,-0.35,-0.37,0.43,314.0
517,16616.0,-0.36,-0.39,0.44,316.0
518,16648.0,-0.36,-0.38,0.44,328.0
519,16680.0,-0.35,-0.37,0.44,339.0
520,16712.0,-0.35,-0.37,0.44,349.0
521,16745.0,-0.35,-0.37,0.44,353.0
